model,candidate,params,mean_cv_mae,fold_1_mae,fold_2_mae,fold_3_mae
XGBoost,10,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 1.0}",4.6241194407145185,4.274620532989502,5.081798076629639,4.515939712524414
XGBoost,11,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 6, ""n_estimators"": 500, ""subsample"": 0.8}",4.645320574442546,4.315862655639648,5.107155799865723,4.512943267822266
XGBoost,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 150, ""subsample"": 1.0}",4.731585502624512,4.428078651428223,5.242111682891846,4.524566173553467
XGBoost,13,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 500, ""subsample"": 0.8}",4.610339482625325,4.342402458190918,5.024237632751465,4.464378356933594
XGBoost,14,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 1.0}",4.600972493489583,4.219793319702148,5.147343158721924,4.435781002044678
XGBoost,15,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 500, ""subsample"": 1.0}",4.73097292582194,4.40900993347168,5.141988277435303,4.641920566558838
XGBoost,16,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 500, ""subsample"": 0.8}",4.686224301656087,4.499680042266846,5.080886363983154,4.478106498718262
XGBoost,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 150, ""subsample"": 0.8}",4.6052548090616865,4.220502853393555,5.095431804656982,4.4998297691345215
XGBoost,18,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 1.0}",4.607538223266602,4.196503162384033,5.108457088470459,4.5176544189453125
XGBoost,19,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 500, ""subsample"": 0.8}",4.635851542154948,4.309345722198486,5.117221832275391,4.480987071990967
