split,dish,model,observations,MAE,RMSE,WAPE_pct,negative_predictions
test,CALAMARI,Naive T1,114,2.3421052631578947,2.8943380905582092,72.55434782608695,0
test,FISH,Naive T1,114,2.543859649122807,3.313978898597708,63.04347826086957,0
test,PRAWNS,Naive T1,114,4.5,5.623415956297725,46.763901549680945,0
test,CHICKEN,Naive T1,114,11.43859649122807,15.195798126513605,35.60895685417804,0
test,KOFTA,Naive T1,114,9.333333333333334,11.835865802646024,36.91880638445524,0
test,LAMB,Naive T1,114,10.74561403508772,14.049723728319545,33.7465564738292,0
test,STEAK,Naive T1,114,8.447368421052632,10.907505865711295,44.05306495882891,0
test,ALL,Seasonal T7,798,6.149122807017544,8.763031827914503,34.3507175358768,0
test,CALAMARI,Seasonal T7,114,2.2017543859649122,2.8144364678526586,68.20652173913044,0
test,FISH,Seasonal T7,114,2.289473684210526,3.174735795057764,56.739130434782616,0
test,PRAWNS,Seasonal T7,114,4.228070175438597,5.621075629100731,43.938012762078394,0
test,CHICKEN,Seasonal T7,114,8.833333333333334,11.334236290138906,27.49863462588749,0
test,KOFTA,Seasonal T7,114,8.657894736842104,11.007573150638912,34.2470506592644,0
test,LAMB,Seasonal T7,114,9.56140350877193,12.014610988000506,30.02754820936639,0
test,STEAK,Seasonal T7,114,7.271929824561403,9.69309756222835,37.9231473010064,0
test,ALL,Ridge,798,5.175395581804976,7.293960247933554,28.91120528022661,9
test,CALAMARI,Ridge,114,2.4365051942985474,3.2671112383556045,75.4786935190311,5
test,FISH,Ridge,114,2.485447733346372,3.4714731706596496,61.59587860901878,4
test,PRAWNS,Ridge,114,3.6666080011599016,4.903087460817665,38.10331013055868,0
test,CHICKEN,Ridge,114,7.3343792074617555,9.7985754671958,22.832311022682692,0
test,KOFTA,Ridge,114,7.303203482905979,8.741799548065087,28.888452361251964,0
test,LAMB,Ridge,114,7.168378154631397,9.598989216433813,22.512261973222568,0
test,STEAK,Ridge,114,5.8332472988308774,7.815103948132918,30.420411347974387,0
test,ALL,Random Forest,798,4.949733370410597,7.1561916336651406,27.650593136770436,0
test,CALAMARI,Random Forest,114,1.6738376458897821,2.1009783451188198,51.8525792476726,0
test,FISH,Random Forest,114,1.905588454365914,2.438802612869573,47.225452999503084,0
test,PRAWNS,Random Forest,114,3.2984208731346842,4.417581954423387,34.2771175512629,0
test,CHICKEN,Random Forest,114,7.30324796356982,9.68903863041855,22.73539781122227,0
test,KOFTA,Random Forest,114,6.95530894513571,8.477316596862662,27.512325459593022,0
test,LAMB,Random Forest,114,7.221130040204246,9.648251659044789,22.6779290518811,0
test,STEAK,Random Forest,114,6.290599670574024,8.352815455131354,32.80550605880323,0
test,ALL,XGBoost,798,5.130600452423096,7.381722183047484,28.660969286126964,1
test,CALAMARI,XGBoost,114,1.822234869003296,2.2745255950272534,56.4496672008713,1
test,FISH,XGBoost,114,2.003161668777466,2.6426564365013165,49.64357249438763,0
test,PRAWNS,XGBoost,114,3.309971570968628,4.43993579474413,34.39715036828625,0
test,CHICKEN,XGBoost,114,7.816579818725586,10.176277953928217,24.33342863340185,0
test,KOFTA,XGBoost,114,6.935067653656006,8.625643941088544,27.432261697953148,0
test,LAMB,XGBoost,114,7.66121244430542,10.063159992064069,24.060005550542154,0
test,STEAK,XGBoost,114,6.365976333618164,8.386480860185738,33.19859899519129,0
